Date,Team,Team_SP,Opp,Opp_SP,Bet_Length,Bet_Type,Line_Move_Time,Over_Under,Line,Odds
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 10:52 AM,over,8,-100
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 10:52 AM,under,8,-110
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:25 AM,over,8,-101
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:25 AM,under,8,-109
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:26 AM,over,8,-102
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:26 AM,under,8,-108
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:26 AM,over,8,-104
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:26 AM,under,8,-106
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:26 AM,over,8,-113
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:26 AM,under,8,+102
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:27 AM,over,8,-110
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:27 AM,under,8,-100
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:27 AM,over,8,-116
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:27 AM,under,8,+105
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:27 AM,over,8,-114
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:27 AM,under,8,+103
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:28 AM,over,8,-119
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:28 AM,under,8,+108
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:29 AM,over,8,-123
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:29 AM,under,8,+111
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 11:39 AM,over,8.5,-106
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 11:39 AM,under,8.5,-104
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:06 PM,over,8.5,-110
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:06 PM,under,8.5,+100
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:23 PM,over,8.5,-113
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:23 PM,under,8.5,+102
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:44 PM,over,8.5,-117
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:44 PM,under,8.5,+106
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:45 PM,over,8.5,-115
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:45 PM,under,8.5,+104
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:48 PM,over,8.5,-117
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:48 PM,under,8.5,+106
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:51 PM,over,8.5,-123
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:51 PM,under,8.5,+111
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:58 PM,over,8.5,-121
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:58 PM,under,8.5,+110
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 12:59 PM,over,8.5,-120
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 12:59 PM,under,8.5,+109
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 01:15 PM,over,8.5,-118
